Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
Philadelphia Flyers*,09-10,82,88,0.537,232,222,21.38,82.93,9,0.905,3854.13,2.33,2.32,30.9,28.74,43,39.6,57.39,54.45,2.69,2.37
Phoenix Coyotes*,09-10,82,107,0.652,211,196,14.65,84.54,8.4,0.919,3934.4,2.32,2,30.52,28,42.57,39.77,55.75,51.1,2.24,2.11
Pittsburgh Penguins*,09-10,82,101,0.616,249,235,17.18,84.1,9.3,0.9,3822.28,2.74,2.52,32.2,27.91,44.77,39.9,59.05,53.89,2.54,2.23
San Jose Sharks*,09-10,82,113,0.689,257,209,21.04,84.88,9.9,0.919,3889.45,2.63,2.2,30.35,30.01,42.85,41.57,57.38,53.88,2.53,2.36
St. Louis Blues,09-10,82,90,0.549,218,218,17.21,86.84,8.9,0.912,3852.92,2.36,2.36,29.36,29.04,41.12,40.59,53.94,52.33,2.3,2.4
Tampa Bay Lightning,09-10,82,80,0.488,213,253,19.33,80.06,9,0.902,3879.98,2.17,2.61,27.48,30.53,37.72,42.09,49.2,55.61,2.19,2.38
Toronto Maple Leafs,09-10,82,74,0.451,210,263,13.97,74.65,7.9,0.892,3966.15,2.34,2.58,31.62,29.33,44.83,41.62,61.2,57.13,2.55,2.29
Vancouver Canucks*,09-10,82,103,0.628,268,218,21.05,81.56,10.6,0.91,3884.75,2.75,2.18,30.05,28.6,41.7,39.31,54.92,50.64,2.32,2.25
Washington Capitals*,09-10,82,121,0.738,313,227,25.24,78.8,11.6,0.91,3963.48,3.24,2.17,32.34,29.33,44.63,40.43,62.74,53.66,2.59,2.37
Anaheim Ducks*,08-09,82,91,0.555,238,235,23.62,79.74,9.6,0.906,3799.63,2.39,2.15,28.55,28.31,40.18,39.3,50.57,48.34,2.23,2.14
Atlanta Thrashers,08-09,82,76,0.463,250,279,19.33,75.96,10.8,0.896,3773.65,2.44,2.71,26.82,32.3,36.9,43.37,47.84,56.74,2.28,2.66
Boston Bruins*,08-09,82,116,0.707,270,190,23.64,82.35,10.9,0.925,3889.17,2.64,1.81,29.68,29.18,40.86,38.73,54.33,50.8,2.32,2.21
Buffalo Sabres,08-09,82,91,0.555,242,229,20.95,81.85,9.7,0.911,3840.05,2.43,2.39,30.47,30.14,40.73,41.03,52.96,53.84,2.13,2.06
Calgary Flames*,08-09,82,98,0.598,251,246,17.04,83.38,9.5,0.899,3693.57,2.71,2.55,32.44,28.18,45.23,39.07,60.5,48.09,2.49,2.17
Carolina Hurricanes*,08-09,82,97,0.591,236,221,18.72,80.4,8.8,0.909,3835.7,2.32,2.19,32.24,28.85,45.25,40.97,60.22,55.21,2.52,2.4
Chicago Blackhawks*,08-09,82,104,0.634,260,209,19.28,80.61,9.7,0.911,3830.15,2.55,2.03,32.67,26.85,43.43,34.74,54.9,43.28,2.4,2.03
Colorado Avalanche,08-09,82,69,0.421,190,253,15.72,79.87,8.1,0.894,3900.4,1.98,2.63,27.47,28.9,37.08,41.55,48.67,57.68,1.97,2.07
Columbus Blue Jackets*,08-09,82,92,0.561,220,223,12.73,82.08,9.3,0.902,3880.12,2.5,2.18,28.4,26.19,38.4,35.46,50.19,46.97,2.06,1.91
Dallas Stars,08-09,82,83,0.506,224,251,15.38,78.59,9.5,0.891,3840.48,2.45,2.56,27.65,28,39.59,39.04,50.62,51,2.05,2.13
Detroit Red Wings*,08-09,82,112,0.683,289,240,25.5,78.29,9.7,0.894,3821.82,2.78,2.36,34.91,26.5,47.01,35.8,60.84,43.87,2.28,1.98
Edmonton Oilers,08-09,82,85,0.518,228,244,16.95,77.51,9.9,0.909,3805.68,2.4,2.36,27.5,31.43,38.28,43.69,51.13,57.49,2.26,2.46
Florida Panthers,08-09,82,93,0.567,231,223,16.56,82.64,9.6,0.922,3904.92,2.43,2.31,28.76,34.21,39.38,46.32,52.09,59.06,2.26,2.46
Los Angeles Kings,08-09,82,79,0.482,202,226,19.17,82.83,8.5,0.902,3769.95,1.89,2.26,27.86,27.8,40.51,39.51,53.06,51.9,2.22,2.1
Minnesota Wild,08-09,82,89,0.543,214,197,20.12,87.63,9.5,0.922,3901.67,1.97,2.25,26.11,29.67,36.71,40.89,48.2,53.81,1.78,1.98
Montreal Canadiens*,08-09,82,93,0.567,242,240,19.25,82.43,9.8,0.908,3794.8,2.42,2.44,28.82,31.6,39.3,43.39,54.15,58.96,2.32,2.52
Nashville Predators,08-09,82,88,0.537,207,228,15.72,82.54,8.7,0.905,3863.32,2.15,2.26,28.22,29.6,39.06,41.01,50.45,52.7,2.13,2.37
New Jersey Devils*,08-09,82,106,0.646,238,207,18.89,79.94,8.8,0.914,3917.52,2.37,1.91,31.68,28.28,42.6,37.66,55.62,49.13,2.3,2
New York Islanders,08-09,82,61,0.372,198,274,16.88,79.78,8.3,0.9,3816.1,1.93,2.8,28.14,33.09,37.91,46.31,52.6,64.09,2.22,2.65
New York Rangers*,08-09,82,95,0.579,200,212,13.87,87.84,7.5,0.913,3853.03,2.07,2.34,32,28.99,44.43,40.05,58.73,51.98,2.72,2.69
Ottawa Senators,08-09,82,83,0.506,213,231,19.47,81.5,8.9,0.901,3830.87,2.06,2.29,27.88,28.16,37.91,38.74,50.59,52.52,2.09,2.14
Philadelphia Flyers*,08-09,82,99,0.604,260,232,22.47,82.95,10.7,0.913,3829.57,2.47,2.54,29.81,31.59,40.59,43.34,53.84,58.71,2.37,2.49
Phoenix Coyotes,08-09,82,79,0.482,205,249,14.66,76.79,8.9,0.904,3867.75,2.08,2.55,26.5,31.64,36.51,44.46,48.42,59.32,1.91,2.31
Pittsburgh Penguins*,08-09,82,99,0.604,258,233,17.22,82.71,10.8,0.906,3820.05,2.79,2.36,28.13,29.23,38.99,40.39,51.93,55.88,2.19,2.14
San Jose Sharks*,08-09,82,117,0.713,251,199,24.17,83.22,9.2,0.911,3910.17,2.15,2.01,31.68,25.7,43.18,35.19,56.49,46.64,2.43,2.03
