Name,Team,Season,GP,TOI,GF%,SF%,FF%,CF%,xGF%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,G±/60,S±/60,G±/60,F±/60,xG±/60,Sh%,Sv%
Stars,DAL,09-10,81,3938.92,48.25,48.5,47.79,47.76,48.82,2.24,2.4,28.66,30.44,39.61,43.28,52.05,56.93,2.11,2.21,-0.16,-1.77,-3.67,-4.88,-0.1,7.81,92.11
Red Wings,DET,09-10,82,4021.8,48.04,52.41,53.19,53.92,52.36,2.17,2.35,31.82,28.89,44.42,39.09,58.19,49.73,2.37,2.16,-0.18,2.93,5.33,8.46,0.21,6.82,91.88
Oilers,EDM,09-10,82,3969.32,42.45,45.56,44.76,44.14,45.34,2.16,2.93,27.52,32.88,38.07,46.99,49.8,63.03,2.2,2.65,-0.77,-5.36,-8.92,-13.23,-0.45,7.86,91.08
Panthers,FLA,09-10,82,3982.08,48.49,44.88,45.57,44.44,45.61,2.14,2.27,27.34,33.59,38.03,45.43,49.81,62.26,2.08,2.48,-0.13,-6.25,-7.39,-12.45,-0.4,7.83,93.23
Kings,L.A,09-10,82,3971.18,51.8,51.44,51.05,50.67,51.73,2.24,2.09,27.85,26.29,39.79,38.15,51.48,50.12,2.19,2.04,0.16,1.56,1.63,1.36,0.15,8.05,92.06
Wild,MIN,09-10,82,3931.42,47.02,47.14,47.74,47.35,50.23,2.15,2.43,26.09,29.25,37.05,40.55,48.73,54.17,2,1.99,-0.27,-3.17,-3.51,-5.45,0.02,8.26,91.7
Canadiens,MTL,09-10,82,4036.3,49.09,46.6,46.91,47.04,46.83,2.08,2.16,27.01,30.95,38.07,43.09,52.58,59.19,2.09,2.37,-0.08,-3.94,-5.02,-6.61,-0.28,7.7,93.03
Devils,N.J,09-10,82,4093.77,52.04,51.94,52.12,51.27,51.52,2.13,1.96,28.99,26.82,38.91,35.73,50.1,47.62,2.14,2.01,0.17,2.17,3.17,2.48,0.13,7.34,92.69
Predators,NSH,09-10,82,4059.1,51.35,50.8,51.59,51.56,50.39,2.3,2.18,29.63,28.69,41.77,39.2,54.7,51.39,2.27,2.24,0.12,0.94,2.58,3.31,0.03,7.77,92.4
Islanders,NYI,09-10,81,3890.58,46.46,48.44,48.27,47.28,48.91,2.3,2.65,29.37,31.27,40.4,43.29,54.21,60.45,2.53,2.64,-0.35,-1.89,-2.89,-6.23,-0.11,7.83,91.53
