,Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
42,Edmonton Oilers,17-18,82,78,0.476,229,262,14.76,76.73,8.4,0.901,4156.3,2.49,2.62,31.98,32.09,44.47,43.59,58.89,59.32,2.73,2.66,0,78
43,Florida Panthers,17-18,82,96,0.585,245,243,18.88,80.18,8.7,0.914,4078.23,2.53,2.55,32.94,33.19,44.95,44.67,57.56,59,2.41,2.56,0,96
44,Los Angeles Kings*,17-18,82,98,0.598,237,202,20.42,85,9.3,0.92,4078.93,2.41,2.15,29.55,29.67,41.46,42.14,55.73,56.15,2.25,2.45,1,98
45,Minnesota Wild*,17-18,82,101,0.616,250,229,20.42,81.25,10.1,0.911,4069.57,2.45,2.26,29.78,29.77,39.63,42.03,52.42,57.31,2.28,2.02,1,101
46,Montreal Canadiens,17-18,82,71,0.433,207,258,21.31,74.14,7.7,0.903,4070.73,1.99,2.48,31.26,31.33,42.34,42.88,58.72,59.37,2.51,2.43,0,71
47,Nashville Predators*,17-18,82,117,0.713,261,204,21.17,81.94,9.9,0.923,4010.1,2.66,1.99,32.27,30.5,45.08,41.13,60.88,55,2.51,2.39,1,117
48,New Jersey Devils*,17-18,82,97,0.591,243,240,21.43,81.78,9.3,0.908,4064.3,2.47,2.57,30.88,30.9,42.22,43.87,54.56,57.69,2.46,2.45,1,97
49,New York Islanders,17-18,82,80,0.488,261,293,23.2,73.19,10.1,0.9,4114.33,2.68,2.93,29.97,34.45,40.77,46.94,55.5,62.46,2.44,2.77,0,80
50,New York Rangers,17-18,82,77,0.47,228,263,21.16,81.38,9,0.909,4099.4,2.28,2.74,29.49,35.41,39.93,47.89,52.2,63.45,2.55,2.85,0,77
51,Ottawa Senators,17-18,82,67,0.409,219,284,16.53,76.17,8.7,0.895,4096.63,2.33,3.01,29.23,32.96,40.37,45.7,54.29,62.99,2.18,2.56,0,67
52,Philadelphia Flyers*,17-18,82,98,0.598,249,236,20.69,75.78,9.5,0.904,4136.07,2.44,2.28,30.25,29.25,41.3,41.44,54.93,56.15,2.37,2.37,1,98
53,Pittsburgh Penguins*,17-18,82,100,0.61,270,248,26.15,80,9.6,0.903,4056.28,2.58,2.68,34.02,30.17,46.07,40.96,60.36,55.42,2.73,2.47,1,100
54,San Jose Sharks*,17-18,82,100,0.61,247,226,20.62,84.82,9.1,0.909,4134.65,2.37,2.54,31.26,29.15,44.33,40.91,60.86,57.81,2.55,2.4,1,100
55,St. Louis Blues,17-18,82,94,0.573,223,222,15.45,79.65,8.3,0.909,4093.05,2.42,2.19,31.9,29.05,43.95,39.07,59.07,54.77,2.33,2.14,0,94
56,Tampa Bay Lightning*,17-18,82,113,0.689,290,234,23.91,76.03,10.8,0.913,4019.83,3.1,2.33,32.78,31.31,45.63,41.6,60.64,54.71,2.56,2.2,1,113
57,Toronto Maple Leafs*,17-18,82,105,0.64,270,230,25,81.39,10.2,0.917,4147.93,2.78,2.38,31.18,32.58,43.87,45.32,59.74,58.38,2.67,2.59,1,105
58,Vancouver Canucks,17-18,82,73,0.445,218,259,21.46,78.26,8.8,0.902,4078.33,2.12,2.54,28.72,31.93,39.46,44.19,52.07,58.51,2.15,2.52,0,73
59,Vegas Golden Knights*,17-18,82,109,0.665,268,225,21.37,81.43,10,0.911,4106.98,2.73,2.37,31.97,29.74,44.25,41.62,59.6,55.46,2.47,2.38,1,109
60,Washington Capitals*,17-18,82,105,0.64,256,238,22.54,80.3,10.8,0.909,4055.08,2.63,2.37,28.08,30.54,40.38,44.28,54.88,58.61,2.36,2.62,1,105
61,Winnipeg Jets*,17-18,82,114,0.695,273,216,23.36,81.75,10.3,0.917,4028.73,2.76,2.28,32.11,29.41,44.68,40.52,59.89,54.32,2.54,2.23,1,114
62,Anaheim Ducks*,16-17,82,105,0.64,220,197,18.73,84.7,9.1,0.919,3995.45,2.3,2.12,29,28.2,41.01,40.64,54.2,54.48,2.49,2.27,1,105
63,Arizona Coyotes,16-17,82,70,0.427,191,258,16.17,77.31,8.4,0.908,4109.98,2.03,2.57,27.42,33.64,38.67,48.35,51.45,62.79,2.02,2.8,0,70
64,Boston Bruins*,16-17,82,95,0.579,232,209,21.72,85.71,8.5,0.905,4030.5,2.26,2.31,32.41,26.17,45.4,36.7,60.04,49.74,2.43,2.01,1,95
